"Displacements","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.98915,0,0,0,0,0,0,0,0,0,0,0,0,0.54243,4.4956e-05,0,0.54243,0,0,0,45,0,0,0,0,0,0
0.9783,0,0,0,0,0,0,0,0,0,0,0,0,0.54237,9.067e-05,0,0.54237,0,0,0,45,0,0,0,0.02,0,0
0.95661,0,0,0,0,0,0,0,0,0,0,0,0,0.54218,0.00018439,0,0.54218,0,0,0,45,0,0,0,0.04,0,0
0.93493,0,0,0,0,0,0,0,0,0,0,0,0,0.54187,0.00028426,0,0.54187,0,0,0,45,0,0,0,0.06,0,0
0.91326,0,0,0,0,0,0,0,0,0,0,0,0,0.54141,0.00039348,0,0.54141,0,0,0,45,0,0,0,0.08,0,0
0.89162,0,0,0,0,0,0,0,0,0,0,0,0,0.5408,0.00051538,0,0.5408,0,0,0,45,0,0,0,0.1,0,0
0.87,0,0,0,0,0,0,0,0,0,0,0,0,0.54002,0.00065345,0,0.54002,0,0,0,45,0,0,0,0.12,0,0
0.84841,0,0,0,0,0,0,0,0,0,0,0,0,0.53903,0.00081134,0,0.53903,0,0,0,45,0,0,0,0.14,0,0
0.82687,0,0,0,0,0,0,0,0,0,0,0,0,0.53782,0.0009928,0,0.53782,0,0,0,45,0,0,0,0.16,0,0
0.80539,0,0,0,0,0,0,0,0,0,0,0,0,0.53635,0.0012016,0,0.53635,0,0,0,45,0,0,0,0.18,0,0
0.78397,0,0,0,0,0,0,0,0,0,0,0,0,0.53458,0.0014415,0,0.53458,0,0,0,45,0,0,0,0.2,0,0
0.76262,0,0,0,0,0,0,0,0,0,0,0,0,0.53246,0.0017156,0,0.53246,0,0,0,45,0,0,0,0.22,0,0
0.74137,0,0,0,0,0,0,0,0,0,0,0,0,0.52995,0.0020264,0,0.52996,0,0,0,45,0,0,0,0.24,0,0
0.72023,0,0,0,0,0,0,0,0,0,0,0,0,0.527,0.0023751,0,0.52701,0,0,0,45,0,0,0,0.26,0,0
0.69921,0,0,0,0,0,0,0,0,0,0,0,0,0.52357,0.0027606,0,0.52358,0,0,0,45,0,0,0,0.28,0,0
0.67834,0,0,0,0,0,0,0,0,0,0,0,0,0.5196,0.0031792,0,0.51961,0,0,0,45,0,0,0,0.3,0,0
0.65764,0,0,0,0,0,0,0,0,0,0,0,0,0.51506,0.0036231,0,0.51508,0,0,0,45,0,0,0,0.32,0,0
0.63714,0,0,0,0,0,0,0,0,0,0,0,0,0.50992,0.0040794,0,0.50994,0,0,0,45,0,0,0,0.34,0,0
0.61685,0,0,0,0,0,0,0,0,0,0,0,0,0.50419,0.0045292,0,0.50422,0,0,0,45,0,0,0,0.36,0,0
0.5968,0,0,0,0,0,0,0,0,0,0,0,0,0.49789,0.0049468,0,0.49792,0,0,0,45,0,0,0,0.38,0,0
0.57702,0,0,0,0,0,0,0,0,0,0,0,0,0.49109,0.0052989,0,0.49112,0,0,0,45,0,0,0,0.4,0,0
0.55751,0,0,0,0,0,0,0,0,0,0,0,0,0.4839,0.0055461,0,0.48394,0,0,0,45,0,0,0,0.42,0,0
0.5383,0,0,0,0,0,0,0,0,0,0,0,0,0.47649,0.0056455,0,0.47654,0,0,0,45,0,0,0,0.44,0,0
